time,GRDC_1160815,US_09447000
2002-08-29,0.656,0.566
2002-08-30,0.945,0.640
2002-08-31,0.743,0.623
2002-09-01,0.537,0.561
2002-09-02,0.474,0.586
2002-09-03,0.431,0.626
2002-09-04,0.399,0.648
2002-09-05,0.961,0.498
2002-09-06,0.747,0.456
2002-09-07,2.168,0.481
2002-09-08,1.725,0.580
2002-09-09,1.103,0.875
2002-09-10,0.766,0.733
2002-09-11,0.624,7.362
2002-09-12,0.533,3.143
2002-09-13,0.467,1.855
2002-09-14,0.423,1.286
2002-09-15,0.415,0.997
2002-09-16,0.399,0.739
2002-09-17,0.370,0.606
2002-09-18,0.340,0.648
2002-09-19,0.328,0.490
2002-09-20,0.316,0.462
2002-09-21,0.289,0.564
2002-09-22,0.289,0.606
2002-09-23,0.288,0.493
2002-09-24,0.281,0.456
2002-09-25,0.256,0.447
2002-09-26,0.248,0.445
2002-09-27,0.192,0.442
2002-09-28,0.094,0.442
2002-09-29,0.061,0.442
2002-09-30,0.061,0.453
2002-10-01,0.095,0.470
2002-10-02,0.085,0.544
2002-10-03,0.057,0.513
2002-10-04,0.040,0.484
2002-10-05,0.033,0.493
2002-10-06,0.037,0.490
2002-10-07,0.160,0.932
2002-10-08,1.332,1.206
2002-10-09,1.195,0.898
2002-10-10,0.546,0.671
2002-10-11,0.389,0.578
2002-10-12,0.302,0.549
2002-10-13,0.256,0.532
2002-10-14,0.235,0.535
2002-10-15,0.225,0.535
2002-10-16,0.191,0.524
2002-10-17,0.194,0.527
2002-10-18,0.186,0.626
2002-10-19,0.163,0.943
2002-10-20,0.189,0.852
2002-10-21,0.202,0.631
2002-10-22,0.203,0.612
2002-10-23,0.166,0.592
2002-10-24,0.133,0.583
2002-10-25,0.115,0.691
2002-10-26,0.117,0.776
2002-10-27,0.109,0.640
2002-10-28,0.166,0.660
2002-10-29,0.207,0.631
2002-10-30,0.262,0.612
2002-10-31,0.346,0.623
2002-11-01,0.282,0.665
2002-11-02,0.242,0.558
2002-11-03,0.243,0.544
2002-11-04,0.188,0.549
2002-11-05,0.093,0.532
2002-11-06,0.069,0.524
2002-11-07,0.067,0.521
2002-11-08,0.071,0.566
2002-11-09,0.092,0.597
2002-11-10,0.080,0.595
2002-11-11,0.062,0.592
2002-11-12,0.039,0.532
2002-11-13,0.020,0.558
2002-11-14,0.021,0.575
2002-11-15,0.048,0.575
2002-11-16,0.043,0.572
2002-11-17,0.045,0.552
2002-11-18,0.038,0.490
2002-11-19,0.020,0.513
2002-11-20,0.011,0.510
2002-11-21,0.007,0.498
2002-11-22,0.004,0.487
2002-11-23,0.002,0.496
2002-11-24,0.000,0.498
2002-11-25,0.003,0.501
2002-11-26,0.046,0.515
2002-11-27,0.042,0.527
2002-11-28,0.032,0.527
2002-11-29,0.020,0.513
2002-11-30,0.031,0.549
2002-12-01,0.042,0.558
2002-12-02,0.047,0.572
2002-12-03,0.070,0.663
2002-12-04,0.052,0.603
2002-12-05,0.056,0.515
2002-12-06,0.086,0.467
2002-12-07,0.416,0.467
2002-12-08,1.021,0.490
2002-12-09,0.438,0.504
2002-12-10,0.192,0.513
2002-12-11,0.100,0.524
2002-12-12,0.064,0.524
2002-12-13,0.039,0.527
2002-12-14,0.021,0.527
2002-12-15,0.011,0.527
2002-12-16,0.013,0.530
2002-12-17,0.463,0.580
2002-12-18,1.124,0.671
2002-12-19,0.591,0.654
2002-12-20,2.953,0.626
2002-12-21,0.817,0.671
2002-12-22,0.666,0.555
2002-12-23,1.630,0.702
2002-12-24,1.062,0.765
2002-12-25,0.419,0.728
2002-12-26,0.243,0.660
2002-12-27,5.843,0.578
2002-12-28,14.058,0.552
2002-12-29,26.518,0.572
2002-12-30,6.271,0.637
2002-12-31,2.446,0.640
2003-01-01,1.438,0.612
2003-01-02,0.955,0.600
2003-01-03,0.650,0.580
2003-01-04,0.913,0.569
2003-01-05,0.557,0.580
2003-01-06,0.435,0.572
2003-01-07,0.364,0.617
2003-01-08,0.289,0.765
2003-01-09,0.260,0.790
2003-01-10,0.364,0.736
2003-01-11,0.775,0.728
2003-01-12,0.694,0.708
2003-01-13,0.439,0.691
2003-01-14,0.271,0.685
2003-01-15,0.199,0.688
2003-01-16,0.153,0.677
2003-01-17,0.591,0.671
2003-01-18,0.849,0.654
2003-01-19,1.807,0.646
2003-01-20,0.461,0.648
2003-01-21,3.666,0.716
2003-01-22,1.122,0.728
